quote,author,title,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,keywords
"“Some people become depressed at the scale of the universe, because it makes them feel insignificant. Other people are relieved to feel insignificant, which is even worse. But, in any case, those are mistakes. Feeling insignificant because the universe is large has exactly the same logic as feeling inadequate for not being a cow. Or a herd of cows. The universe is not there to overwhelm us; it is our home, and our resource. The bigger the better.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,,,,,,,,,,,,
"“Like every other destruction of optimism, whether in a whole civilisation or in a single individual, these must have been unspeakable catastrophes for those who had dared to expect progress. But we should feel more than sympathy for those people. We should take it personally. For if any of those earlier experiments in optimism had succeeded, our species would be exploring the stars by now, and you and I would be immortal.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,person,optimism,,,,,,,,,,,
"“The whole [scientific] process resembles biological evolution. A problem is like an ecological niche, and a theory is like a gene or a species which is being tested for viability in that niche.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,gene,problem,,,,,,,,,,,
"“We do not experience time flowing, or passing. What we experience are differences between our present perceptions and our present memories of past perceptions. We interpret those differences, correctly, as evidence that the universe changes with time. We also interpret them, incorrectly, as evidence that our consciousness, or the present, or something, moves through time.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,universe,interpretation,,,,,,,,,,,
“an unproblematic state is a state without creative thought. Its other name is death.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,problem,creativity,,,,,,,,,,,
“All fiction that does not violate the laws of physics is fact.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,physics,,,,,,,,,,,,
"“Without error-correction all information processing, and hence all knowledge-creation, is necessarily bounded. Error-correction is the beginning of infinity.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,inf,infinite,knowledge,,,,,,,,,,
"“Like an explosive awaiting a spark, unimaginably numerous environments in the universe are waiting out there, for aeons on end, doing nothing at all or blindly generating evidence and storing it up or pouring it out into space. Almost any of them would, if the right knowledge ever reached it, instantly and irrevocably burst into a radically different type of physical activity: intense knowledge-creation, displaying all the various kinds of complexity, universality and reach that are inherent in the laws of nature, and transforming that environment from what is typical today into what could become typical in the future. If we want to, we could be that spark.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,gene,knowledge,physics,,,,,,,,,
"“It is a mistake to conceive of choice and decision-making as a process of selecting from existing options according to a fixed formula. That omits the most important element of decision-making, namely the creation of new options.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,decision-making,,,,,,,,,,,,
"“Objective knowledge is indeed possible: it comes from within! It begins as conjecture, and is then corrected by repeated cycles of criticism, including comparison with the evidence on our ‘wall’.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,conjecture,knowledge,,,,,,,,,,,
